title,article,alinea,revisto,validado,law_description,topico,referencia,referencia_incm
 MANUTENÇÃO DE ANTERIOR DIREITO, 2,1, Helder Santos (na íntegra), Bruno Vidal,O disposto no artigo 1.º não prejudica o direito de inscrição atribuído por lei especial anterior ao exercício de quaisquer funções.,[' Inscrição'],['1.'],
 MODO DE INSCRIÇÃO, 3,1, , Bruno Vidal,"1. A inscrição efetua-se mediante boletim, em duplicado, de modelo aprovado oficialmente, que o respetivo serviço preencherá e 
enviará à Caixa logo que o interessado entre em exercício de funções.",[' Inscrição'],['']," PORTARIA N.º 165/95, DE 2 DE MARÇO (SEM ALTERAÇÕES)"
 MODO DE INSCRIÇÃO, 3,2, , Bruno Vidal,"2. Se o subscritor passar a exercer funções em outro organismo ou serviço, sem interromper a inscrição, este enviará desde logo à 
Caixa, em duplicado, boletim complementar, de modelo oficialmente aprovado, contendo os dados relativos à nova situação.",[' Inscrição'],[' ']," PORTARIA N.º 165/95, DE 2 DE MARÇO (SEM ALTERAÇÕES)"
 IDADE MÁXIMA E TOTALIZAÇÃO DE PERÍODOS CONTRIBUTIVOS, 4,1, , Bruno Vidal,"1. A idade máxima para a inscrição na Caixa será a que corresponda à possibilidade de o subscritor perfazer o mínimo de 5 anos de 
serviço até atingir o limite de idade fixado por lei para o exercício do respetivo cargo.",[' Inscrição'],[' '],"  O DECRETO-LEI N.º 6/2019 ALTEROU A REDAÇÃO DO ARTIGO 79.º DO ESTATUTO DA APOSENTAÇÃO (CONSOLIDADO), 
DE VÁRIOS ARTIGOS DA LEI GERAL DO TRABALHO EM FUNÇÕES PÚBLICAS(CONSOLIDADA) E DA LEI N.º 11/2014, DE 6 DE MARÇO
(CONSOLIDADA)"
 IDADE MÁXIMA E TOTALIZAÇÃO DE PERÍODOS CONTRIBUTIVOS, 4,2, , Bruno Vidal,"2. Os períodos contributivos cumpridos no âmbito de outros regimes de proteção social, na parte em que não se sobreponham aos 
períodos contributivos cumpridos no regime de proteção social convergente, são considerados e relevam para os seguintes efeitos:
a) Cumprimento do prazo de garantia; b) Condições de aposentação ou reforma; c) Determinação da taxa de bonificação; d) 
Apuramento da pensão mínima.",[' Inscrição'],[' ']," O DECRETO-LEI N.º 6/2019 ALTEROU A REDAÇÃO DO ARTIGO 79.º DO ESTATUTO DA 
APOSENTAÇÃO (CONSOLIDADO), DE VÁRIOS ARTIGOS DA LEI GERAL DO TRABALHO EM FUNÇÕES PÚBLICAS(CONSOLIDADA) E DA LEI 
N.º 11/2014, DE 6 DE MARÇO (CONSOLIDADA)
2. Os períodos contributivos cumpridos no âmbito de outros regimes de proteção social, na parte em que não se sobreponham aos "
 IDADE MÁXIMA E TOTALIZAÇÃO DE PERÍODOS CONTRIBUTIVOS, 4,3, , Bruno Vidal,"3. Para efeitos do disposto no número anterior, consideram-se outros regimes de proteção social, o regime geral de segurança 
social, os regimes especiais de segurança social, os regimes das caixas de reforma ou previdência ainda subsistentes, o regime de 
segurança social substitutivo constante de instrumento de regulamentação coletiva de trabalho vigente no setor bancário e os 
regimes de segurança social estrangeiros ou internacionais, desde que confiram proteção nas eventualidades de invalidez e velhice. ",[''],[' 4.2 (from)']," O DECRETO-LEI N.º 6/2019 ALTEROU A REDAÇÃO DO ARTIGO 79.º DO ESTATUTO 
DA APOSENTAÇÃO (CONSOLIDADO), DE VÁRIOS ARTIGOS DA LEI GERAL DO TRABALHO EM FUNÇÕES PÚBLICAS (CONSOLIDADA) E 
DA LEI N.º 11/2014, DE 6 DE MARÇO (CONSOLIDADA)"
 IDADE MÁXIMA E TOTALIZAÇÃO DE PERÍODOS CONTRIBUTIVOS, 4,4, , Bruno Vidal,"4. Quando o cargo for exercido em regime de tempo parcial, será este considerado, só para efeitos de inscrição na Caixa, como 
tempo completo.",[' Inscrição'],[' '],"  O DECRETO-LEI N.º 6/2019 ALTEROU A REDAÇÃO DO ARTIGO 79.º DO ESTATUTO DA APOSENTAÇÃO
(CONSOLIDADO), DE VÁRIOS ARTIGOS DA LEI GERAL DO TRABALHO EM FUNÇÕES PÚBLICAS (CONSOLIDADA) E DA LEI N.º 11/2014, 
DE 6 DE MARÇO (CONSOLIDADA)"
 IDADE MÁXIMA E TOTALIZAÇÃO DE PERÍODOS CONTRIBUTIVOS, 4,5, , Bruno Vidal,"5. Para efeitos do disposto na alínea d) do n.º 2, a pensão apenas é elevada para o montante mínimo legalmente previsto quando o
aposentado ou reformado não perceba pensão ou pensões de valor global igual ou superior à pensão mínima que seria devida com 
base exclusivamente no tempo de serviço da CGA, I. P.",[' Inscrição'],[' 4.2 d) (from)'],"  O DECRETO-LEI N.º 6/2019 ALTEROU A REDAÇÃO DO 
ARTIGO 79.º DO ESTATUTO DA APOSENTAÇÃO (CONSOLIDADO), DE VÁRIOS ARTIGOS DA LEI GERAL DO TRABALHO 
EM FUNÇÕES PÚBLICAS (CONSOLIDADA) E DA LEI N.º 11/2014, DE 6 DE MARÇO (CONSOLIDADA)"
 QUOTA PARA A APOSENTAÇÃO, 5,1, , Bruno Vidal,"1. O subscritor contribuirá para a Caixa, em cada mês, com a quota de 6 por cento do total da remuneração que competir ao cargo 
exercido, em função do tempo de serviço prestado nesse mês. ",[' Quota'],[''],
 QUOTA PARA A APOSENTAÇÃO, 5,2, , Bruno Vidal,"2. Havendo acumulação de cargos, a quota sobre a remuneração referida no n.º 1 será devida em relação: a) Ao cargo a que 
competir remuneração mais elevada ou, se as remunerações forem de igual montante, ao que houver determinado 
primeiramente a inscrição na Caixa; b) A todos os cargos acumulados, quando a lei permita a aposentação com base neles, 
simultaneamente, ou quando se trate de tempo não sobreposto.",[' Acumulação de Cargos'],[' 5.1 (from)'],
